skill,category,normalized_skill,resume_match_weight,aliases,skill_type,parent_skill
frameworks,Domain-Specific / Other,Frameworks,2,,hard,Domain-Specific / Other
gdpr,Domain-Specific / Other,Gdpr,2,,hard,Domain-Specific / Other
genomic,Domain-Specific / Other,Genomic,2,,hard,Domain-Specific / Other
genomics,Domain-Specific / Other,Genomics,2,,hard,Domain-Specific / Other
geographic,Domain-Specific / Other,Geographic,2,,hard,Domain-Specific / Other
getaaa,Domain-Specific / Other,Getaaa,2,,hard,Domain-Specific / Other
gis,Domain-Specific / Other,Gis,2,,hard,Domain-Specific / Other
github,Domain-Specific / Other,Github,2,,hard,Domain-Specific / Other
gitlab,Domain-Specific / Other,Gitlab,2,,hard,Domain-Specific / Other
glp,Domain-Specific / Other,Glp,2,,hard,Domain-Specific / Other
gmp,Domain-Specific / Other,Gmp,2,good manufacturing practices,hard,Domain-Specific / Other
grant,Domain-Specific / Other,Grant,2,,hard,Domain-Specific / Other
graphic,Domain-Specific / Other,Graphic,2,,hard,Domain-Specific / Other
graphics,Domain-Specific / Other,Graphics,2,,hard,Domain-Specific / Other
grooming,Domain-Specific / Other,Grooming,2,,hard,Domain-Specific / Other
guiding,Domain-Specific / Other,Guiding,2,,hard,Domain-Specific / Other
human,Domain-Specific / Other,Human,2,,hard,Domain-Specific / Other
hygiene,Domain-Specific / Other,Hygiene,2,,hard,Domain-Specific / Other
immunoassay,Domain-Specific / Other,Immunoassay,2,,hard,Domain-Specific / Other
innovation,Domain-Specific / Other,Innovation,2,,hard,Domain-Specific / Other
installation,Domain-Specific / Other,Installation,2,,hard,Domain-Specific / Other
instructional,Domain-Specific / Other,Instructional,2,,hard,Domain-Specific / Other
intelligence,Domain-Specific / Other,Intelligence,2,,hard,Domain-Specific / Other
inventories,Domain-Specific / Other,Inventories,2,,hard,Domain-Specific / Other
investigation,Domain-Specific / Other,Investigation,2,,hard,Domain-Specific / Other
ios,Domain-Specific / Other,Ios,2,,hard,Domain-Specific / Other
iot,Domain-Specific / Other,Iot,2,,hard,Domain-Specific / Other
jquery,Domain-Specific / Other,Jquery,2,,hard,Domain-Specific / Other
kinetics,Domain-Specific / Other,Kinetics,2,,hard,Domain-Specific / Other
labeling,Domain-Specific / Other,Labeling,2,,hard,Domain-Specific / Other
laser,Domain-Specific / Other,Laser,2,,hard,Domain-Specific / Other
learning,Domain-Specific / Other,Learning,2,,hard,Domain-Specific / Other
legal,Domain-Specific / Other,Legal,2,,hard,Domain-Specific / Other
machine,Domain-Specific / Other,Machine,2,,hard,Domain-Specific / Other
maintenance,Domain-Specific / Other,Maintenance,2,,hard,Domain-Specific / Other
marketing,Domain-Specific / Other,Marketing,2,,hard,Domain-Specific / Other
metabolomics,Domain-Specific / Other,Metabolomics,2,,hard,Domain-Specific / Other
microscopy,Domain-Specific / Other,Microscopy,2,,hard,Domain-Specific / Other
microsoft,Domain-Specific / Other,Microsoft,2,,hard,Domain-Specific / Other
modeling,Domain-Specific / Other,Modeling,2,,hard,Domain-Specific / Other
modelling,Domain-Specific / Other,Modelling,2,,hard,Domain-Specific / Other
motivating,Domain-Specific / Other,Motivating,2,,hard,Domain-Specific / Other
motivation,Domain-Specific / Other,Motivation,2,,hard,Domain-Specific / Other
narration,Domain-Specific / Other,Narration,2,,hard,Domain-Specific / Other
nist,Domain-Specific / Other,Nist,2,,hard,Domain-Specific / Other
nosql,Domain-Specific / Other,Nosql,2,,hard,Domain-Specific / Other
orchestration,Domain-Specific / Other,Orchestration,2,,hard,Domain-Specific / Other
orthodontic,Domain-Specific / Other,Orthodontic,2,,hard,Domain-Specific / Other
orthopedic,Domain-Specific / Other,Orthopedic,2,,hard,Domain-Specific / Other
outreach,Domain-Specific / Other,Outreach,2,,hard,Domain-Specific / Other
pedagogy,Domain-Specific / Other,Pedagogy,2,,hard,Domain-Specific / Other
performance,Domain-Specific / Other,Performance,2,,hard,Domain-Specific / Other
photography,Domain-Specific / Other,Photography,2,,hard,Domain-Specific / Other
physics,Domain-Specific / Other,Physics,2,,hard,Domain-Specific / Other
pilates,Domain-Specific / Other,Pilates,2,,hard,Domain-Specific / Other
plumbing,Domain-Specific / Other,Plumbing,2,,hard,Domain-Specific / Other
policy,Domain-Specific / Other,Policy,2,,hard,Domain-Specific / Other
postgres,Domain-Specific / Other,Postgres,2,,hard,Domain-Specific / Other
priorities,Domain-Specific / Other,Priorities,2,,hard,Domain-Specific / Other
problem,Domain-Specific / Other,Problem,2,,hard,Domain-Specific / Other
programming,Domain-Specific / Other,Programming,2,,hard,Domain-Specific / Other
protocol,Domain-Specific / Other,Protocol,2,,hard,Domain-Specific / Other
recruiting,Domain-Specific / Other,Recruiting,2,,hard,Domain-Specific / Other
recruitment,Domain-Specific / Other,Recruitment,2,,hard,Domain-Specific / Other
regex,Domain-Specific / Other,Regex,2,,hard,Domain-Specific / Other
remote,Domain-Specific / Other,Remote,2,,hard,Domain-Specific / Other
